fCnt,rssi,dr,freq
471,-85,5,915600000
472,-83,5,915200000
473,-80,5,915400000
474,-78,5,916200000
475,-74,5,916400000
476,-76,5,915400000
477,-77,5,916200000
478,-78,5,916400000
479,-79,5,916000000
480,-78,5,915800000
481,-74,5,915600000
482,-82,5,915200000
483,-91,5,916400000
484,-80,5,915800000
485,-79,5,915200000
486,-86,5,915600000
487,-84,5,916200000
488,-79,5,916000000
489,-82,5,915400000
490,-92,5,916000000
491,-78,5,916400000
492,-82,5,915200000
493,-92,5,915400000
494,-93,5,915800000
495,-77,5,915600000
496,-78,5,916200000
497,-76,5,916400000
498,-79,5,915400000
499,-78,5,915200000
500,-82,5,915600000
501,-77,5,916200000
502,-79,5,915800000
503,-83,5,916000000
504,-83,5,915600000
505,-80,5,915400000
506,-81,5,915800000
507,-77,5,916400000
508,-77,5,916000000
509,-77,5,916200000
510,-81,5,915200000
511,-80,5,916200000
512,-78,5,915600000
513,-78,5,915400000
514,-79,5,916000000
515,-80,5,916400000
516,-81,5,915200000
517,-84,5,915800000
518,-78,5,916000000
519,-79,5,915600000
520,-78,5,916400000
521,-79,5,915400000
522,-81,5,916200000
523,-81,5,915200000
524,-81,5,915800000
525,-80,5,916200000
526,-80,5,916000000
527,-82,5,915600000
528,-80,5,915200000
529,-80,5,915800000
530,-73,5,915400000
531,-83,5,916400000
532,-73,5,915800000
533,-81,5,916000000
534,-76,5,915600000
535,-68,5,916200000
536,-78,5,915400000
537,-77,5,915200000
538,-80,5,916400000
539,-70,5,916400000
540,-74,5,915400000
541,-71,5,915800000
542,-61,5,915600000
543,-82,5,916000000
544,-64,5,916200000
545,-68,5,915200000
546,-66,5,916400000
547,-69,5,915200000
548,-62,5,916200000
549,-61,5,915600000
550,-68,5,915400000
551,-64,5,915800000
552,-63,5,916000000
553,-76,5,915800000
554,-66,5,916400000
555,-64,5,915400000
556,-65,5,915200000
557,-66,5,916200000
558,-71,5,916000000
559,-64,5,915600000
560,-73,5,915200000
561,-67,5,916000000
562,-63,5,915400000
563,-64,5,916400000
564,-94,5,915800000
565,-64,5,916200000
566,-73,5,915600000
567,-77,5,915600000
568,-66,5,915400000
569,-78,5,916200000
570,-65,5,916000000
571,-61,5,916400000
572,-62,5,915200000
573,-54,5,915800000
574,-73,5,915800000
575,-71,5,916200000
576,-62,5,915600000
577,-59,5,915400000
578,-70,5,916000000
579,-76,5,916400000
580,-68,5,915200000
581,-73,5,916400000
582,-71,5,915800000
583,-71,5,915600000
584,-76,5,915200000
585,-75,5,916000000
586,-69,5,916200000
587,-76,5,915400000
588,-74,5,915400000
589,-66,5,916400000
590,-69,5,916000000
591,-74,5,916200000
592,-83,5,915200000
593,-73,5,915800000
594,-79,5,915600000
595,-76,5,916400000
596,-73,5,915400000
597,-74,5,916200000
598,-75,5,915600000
599,-74,5,915800000
600,-71,5,915200000
601,-71,5,916000000
602,-70,5,915400000
603,-74,5,915800000
604,-81,5,916000000
605,-78,5,915600000
606,-78,5,915200000
607,-71,5,916200000
608,-73,5,916400000
609,-75,5,915200000
610,-83,5,916400000
611,-82,5,916200000
612,-95,5,916000000
613,-76,5,915800000
614,-79,5,915400000
615,-78,5,915600000
616,-83,5,916000000
617,-82,5,916200000
618,-91,5,915200000
619,-101,5,916400000
620,-99,5,915600000
621,-94,5,915400000
622,-96,5,915800000
623,-82,5,915800000
624,-79,5,915400000
625,-91,5,915200000
626,-85,5,916000000
627,-88,5,915600000
628,-83,5,916200000
629,-81,5,916400000
630,-86,5,915800000
631,-91,5,915400000
632,-85,5,916000000
633,-78,5,915600000
634,-80,5,916400000
635,-85,5,915200000
636,-90,5,916200000
637,-88,5,916200000
638,-75,5,916400000
639,-78,5,915800000
640,-88,5,916000000
641,-81,5,915400000
642,-76,5,915600000
643,-74,5,915200000
644,-70,5,916400000
645,-73,5,915800000
646,-70,5,915400000
648,Sem resposta,5,915600000
649,-79,5,916000000
650,Sem resposta,5,915200000
651,-75,5,915400000
652,-78,5,916000000
653,-74,5,915200000
654,-78,5,916200000
655,-88,5,915800000
656,-86,5,916400000
657,-80,5,915600000
658,-88,5,915400000
659,-80,5,915600000
