fCnt,freq,bw,sf,cr,rssi,channel,timestamp,
20,915800000,125,7,4/5,-102,3,3789075083,
21,915200000,125,7,4/5,-97,0,3798316923,
22,915400000,125,7,4/5,-99,1,3806705803,
23,915600000,125,7,4/5,-94,2,3814826699,
24,916600000,125,7,4/5,-101,7,3822884244,
26,916600000,125,7,4/5,-95,7,3839153396,
27,916400000,125,7,4/5,-95,6,3845228964,
0,915200000,125,12,4/5,-73,0,3935348116,T2A6
1,915600000,125,7,4/5,-72,2,3941748787,
2,915400000,125,7,4/5,-72,1,3947824187,
3,916200000,125,7,4/5,-76,5,3953899620,
4,915600000,125,7,4/5,-77,2,3959975059,
5,915400000,125,7,4/5,-74,1,3966050499,
6,915600000,125,7,4/5,-72,2,3972125931,
7,915800000,125,7,4/5,-72,3,3978201387,
8,916200000,125,7,4/5,-73,5,3984274124,
9,915600000,125,7,4/5,-72,2,3993197035,
10,915800000,125,7,4/5,-72,3,4002879627,
11,916400000,125,7,4/5,-73,6,4011822452,
12,915800000,125,7,4/5,-73,3,4020707971,
13,916200000,125,7,4/5,-77,5,4029024052,
14,915400000,125,7,4/5,-71,1,4037777211,
15,915800000,125,7,4/5,-72,3,4046797731,
16,916200000,125,7,4/5,-75,5,4055866652,
17,915800000,125,7,4/5,-73,3,4064942003,
18,916200000,125,7,4/5,-73,5,4073912532,
19,916000000,125,7,4/5,-75,4,4081925939,
20,915800000,125,7,4/5,-73,3,4091663843,
21,916000000,125,7,4/5,-76,4,4097737835,
22,915400000,125,7,4/5,-73,1,4106713739,
23,916000000,125,7,4/5,-76,4,4114914635,
24,916200000,125,7,4/5,-75,5,4122866316,
25,915200000,125,7,4/5,-75,0,4131687483,
0,915400000,125,12,4/5,-103,1,21001764,T3AT
1,915800000,125,10,4/5,-103,3,27680820,
2,916000000,125,10,4/5,-103,4,34095020,
3,915200000,125,10,4/5,-102,0,42507996,
4,916600000,125,10,4/5,-102,7,52579484,
5,915400000,125,10,4/5,-102,1,61888116,
6,915600000,125,10,4/5,-102,2,71978724,
7,916000000,125,10,4/5,-103,4,82126220,
8,915400000,125,10,4/5,-102,1,92222972,
9,915800000,125,10,4/5,-103,3,102135996,
10,916400000,125,10,4/5,-103,6,111992340,
11,915600000,125,10,4/5,-102,2,121011548,
12,916000000,125,10,4/5,-102,4,130414596,
13,916200000,125,10,4/5,-103,5,139020484,
14,915600000,125,10,4/5,-101,2,148853956,
15,916200000,125,10,4/5,-103,5,155268268,
16,915800000,125,10,4/5,-103,3,163538940,
17,916400000,125,10,4/5,-102,6,173262724,
18,916600000,125,10,4/5,-102,7,181665652,
19,915400000,125,10,4/5,-103,1,191297236,
0,916400000,125,12,4/5,-103,6,324785044,T3A4
1,915600000,125,12,4/5,-105,2,332453180,
2,916600000,125,12,4/5,-105,7,340037676,
3,915600000,125,12,4/5,-102,2,349496892,
4,916200000,125,12,4/5,-103,5,358965676,
5,915200000,125,12,4/5,-107,0,370031772,
6,915800000,125,12,4/5,-105,3,380991212,
7,915400000,125,12,4/5,-103,1,391443556,
8,915800000,125,12,4/5,-103,3,400904332,
9,915400000,125,12,4/5,-105,1,410361412,
11,916600000,125,12,4/5,-105,7,430809860,
12,916200000,125,12,4/5,-102,5,440439484,
13,915800000,125,12,4/5,-105,3,449925420,
14,915200000,125,12,4/5,-107,0,460145284,
15,916000000,125,12,4/5,-103,4,467729764,
16,915400000,125,12,4/5,-103,1,478670284,
17,915800000,125,12,4/5,-103,3,488275388,
18,915600000,125,12,4/5,-105,2,498748676,
19,916000000,125,12,4/5,-103,4,508868828,
20,916200000,125,12,4/5,-105,5,519828716,
0,915200000,125,12,4/5,-85,0,649872436,T3A7
1,916200000,125,7,4/5,-84,5,656273124,
2,915600000,125,7,4/5,-87,2,662349635,
3,915400000,125,7,4/5,-88,1,668425067,
4,915200000,125,7,4/5,-88,0,674500483,
5,915400000,125,7,4/5,-87,1,680575923,
6,915200000,125,7,4/5,-90,0,686651371,
7,915800000,125,7,4/5,-84,3,692726811,
8,916600000,125,7,4/5,-87,7,698799540,
9,915400000,125,7,4/5,-87,1,708538347,
10,915800000,125,7,4/5,-85,3,717689731,
11,915400000,125,7,4/5,-89,1,725784651,
12,915200000,125,7,4/5,-91,0,733699459,
13,915400000,125,7,4/5,-89,1,743405043,
14,916400000,125,7,4/5,-87,6,752883844,
15,916200000,125,7,4/5,-84,5,762118916,
16,915600000,125,7,4/5,-89,2,770750091,
17,916600000,125,7,4/5,-85,7,779146156,
18,916200000,125,7,4/5,-85,5,787681780,
19,916400000,125,7,4/5,-84,6,796994716,
20,916200000,125,7,4/5,-85,5,804887700,
21,915200000,125,7,4/5,-91,0,810961699,
22,915800000,125,7,4/5,-87,3,820661715,
23,916400000,125,7,4/5,-85,6,829916956,
24,916200000,125,7,4/5,-82,5,839281932,
