fCnt,data,adr,dr,frequency
12,OTAA,True,2,916000000
13,OTAA,True,2,916200000
14,OTAA,True,2,915600000
15,OTAA,True,2,916200000
16,OTAA,True,2,915800000
17,OTAA,True,2,916400000
18,OTAA,True,2,916600000
19,OTAA,True,2,915400000
0,OTAA,True,0,916400000
1,OTAA,True,0,915600000
2,OTAA,True,0,916600000
3,OTAA,True,0,915600000
4,OTAA,True,0,916200000
5,OTAA,True,0,915200000
6,OTAA,True,0,915800000
7,OTAA,True,0,915400000
8,OTAA,True,0,915800000
9,OTAA,True,0,915400000
11,OTAA,True,0,916600000
12,OTAA,True,0,916200000
13,OTAA,True,0,915800000
14,OTAA,True,0,915200000
15,OTAA,True,0,916000000
16,OTAA,True,0,915400000
17,OTAA,True,0,915800000
18,OTAA,True,0,915600000
19,OTAA,True,0,916000000
20,OTAA,True,0,916200000
0,OTAA,True,0,915200000
1,OTAA,True,5,916200000
2,OTAA,True,5,915600000
3,OTAA,True,5,915400000
4,OTAA,True,5,915200000
5,OTAA,True,5,915400000
6,OTAA,True,5,915200000
7,OTAA,True,5,915800000
8,OTAA,True,5,916600000
9,OTAA,True,5,915400000
10,OTAA,True,5,915800000
11,OTAA,True,5,915400000
12,OTAA,True,5,915200000
13,OTAA,True,5,915400000
14,OTAA,True,5,916400000
15,OTAA,True,5,916200000
16,OTAA,True,5,915600000
17,OTAA,True,5,916600000
18,OTAA,True,5,916200000
19,OTAA,True,5,916400000
