fCnt,rssi,dr,freq
0,Inicio,5,915600000
1,-40,5,916200000
2,-40,5,915200000
3,-40,5,915400000
4,-41,5,916000000
5,-40,5,916400000
6,-41,5,915800000
7,-37,5,915600000
8,-40,5,915400000
9,-39,5,916200000
10,-39,5,916400000
11,-36,5,916000000
12,-39,5,915800000
13,-35,5,915200000
14,-50,5,916400000
15,-56,5,915600000
16,-60,5,915800000
17,-42,5,915400000
19,Sem resposta,5,916200000
20,-39,5,915200000
21,-43,5,916400000
22,-25,5,916000000
23,-31,5,915400000
24,-30,5,915200000
25,-35,5,915600000
26,-31,5,915800000
27,-39,5,916200000
28,-31,5,915200000
29,-32,5,915800000
30,-35,5,915400000
31,-37,5,915600000
32,-30,5,916400000
33,-33,5,916200000
34,-36,5,916000000
35,-35,5,916200000
36,-30,5,915400000
37,-33,5,915800000
38,-31,5,916400000
39,-33,5,915200000
40,-35,5,916000000
41,-37,5,915600000
42,-42,5,916000000
43,-51,5,916200000
44,-48,5,915400000
45,-47,5,915600000
46,-45,5,915200000
47,-42,5,916400000
48,-44,5,915800000
49,-53,5,916400000
50,-46,5,915200000
51,-47,5,915600000
52,-50,5,915800000
53,-69,5,916200000
54,-46,5,915400000
55,-49,5,916000000
56,-51,5,915400000
57,-52,5,915600000
58,-48,5,915200000
59,-49,5,915800000
60,-61,5,916200000
61,-57,5,916400000
62,-60,5,916000000
63,-53,5,915400000
64,-53,5,915200000
65,-49,5,915600000
66,-52,5,916200000
67,-58,5,916000000
68,-60,5,916400000
69,Sem resposta,5,915800000
70,-60,5,916200000
71,-59,5,916000000
72,-57,5,915600000
73,Sem resposta,5,915800000
74,-48,5,915400000
75,-67,5,916400000
76,-53,5,915200000
77,-58,5,915200000
78,-53,5,916400000
79,-53,5,916000000
80,-51,5,915400000
81,-47,5,915600000
82,-45,5,915800000
83,-46,5,916200000
84,-50,5,915200000
85,-43,5,915400000
86,-42,5,916000000
87,-48,5,915600000
88,-46,5,916400000
89,-65,5,916200000
90,-47,5,915800000
91,-53,5,916400000
92,-46,5,915600000
93,-49,5,915400000
94,-50,5,916200000
95,-59,5,916000000
96,-49,5,915800000
97,-49,5,915200000
98,-52,5,916000000
99,-69,5,915600000
100,-51,5,916400000
101,-48,5,915400000
102,-54,5,915200000
103,-53,5,915800000
104,-54,5,916200000
105,-78,5,915400000
106,-56,5,915200000
107,-56,5,916400000
108,-61,5,915800000
109,-71,5,916000000
110,-66,5,915600000
111,-59,5,916200000
112,-64,5,916200000
113,-73,5,915600000
114,-67,5,915400000
115,-62,5,916400000
116,-71,5,916000000
117,-70,5,915200000
118,-68,5,915800000
119,-68,5,915400000
120,-76,5,915600000
121,-78,5,915800000
122,-67,5,916200000
123,-68,5,916000000
124,-71,5,915200000
125,-76,5,916400000
126,-67,5,915400000
127,-83,5,915200000
128,-65,5,916000000
129,-70,5,916200000
130,-67,5,915800000
131,-67,5,916400000
132,Sem resposta,5,915600000
133,-75,5,915600000
134,-70,5,916000000
135,-66,5,916200000
136,-66,5,915200000
137,-62,5,915400000
138,-71,5,916400000
139,-68,5,915800000
140,-65,5,916400000
141,-83,5,915400000
142,-56,5,916000000
143,-64,5,915200000
144,-70,5,915800000
145,-68,5,915600000
146,-67,5,916200000
147,-74,5,916200000
148,-59,5,916400000
149,-60,5,916000000
150,-67,5,915800000
151,-81,5,915200000
152,-78,5,915600000
153,-69,5,915400000
154,-63,5,915200000
155,-71,5,915600000
156,-67,5,916400000
157,-68,5,915800000
158,-78,5,916200000
159,-66,5,916000000
160,-71,5,915400000
161,-71,5,915600000
162,-76,5,916000000
163,-67,5,915200000
164,-67,5,915800000
165,-71,5,915400000
166,-74,5,916400000
167,-76,5,916200000
168,-69,5,916400000
169,-65,5,915200000
170,-76,5,916000000
171,-74,5,916200000
172,-83,5,915600000
173,-75,5,915800000
174,-67,5,915400000
175,-86,5,916400000
176,-65,5,915400000
177,-76,5,915800000
178,-70,5,916000000
179,-75,5,916200000
180,-62,5,915600000
181,-70,5,915200000
182,-68,5,915400000
183,-68,5,915600000
184,-76,5,916000000
185,-69,5,915800000
186,Sem resposta,5,916200000
187,-69,5,915200000
188,-53,5,916400000
189,-64,5,916200000
190,-54,5,916400000
191,-63,5,915800000
192,-60,5,915200000
193,-58,5,915400000
194,Sem resposta,5,915600000
195,-52,5,916000000
196,-49,5,915800000
197,-41,5,916000000
198,-44,5,916200000
199,-37,5,915200000
200,-42,5,916400000
201,-35,5,915600000
202,-25,5,915400000
203,-34,5,915800000
204,-33,5,915400000
205,-31,5,916400000
206,-26,5,916000000
207,-40,5,916200000
208,-42,5,915200000
209,-39,5,915600000
210,-34,5,915200000
211,-37,5,915800000
212,-39,5,916200000
213,-54,5,915600000
