fCnt,rssi,dr,freq
267,-63,5,915400000
268,-69,5,916200000
269,Sem resposta,5,916000000
270,-73,5,915200000
271,-62,5,915600000
272,-63,5,916400000
273,Sem resposta,5,916400000
274,-67,5,915200000
275,-58,5,915800000
276,-61,5,916000000
277,Sem resposta,5,915600000
278,-73,5,916200000
279,-60,5,915400000
280,-67,5,915400000
281,Sem resposta,5,916200000
282,-60,5,915800000
283,-60,5,915600000
284,-52,5,916000000
285,Sem resposta,5,916400000
286,-61,5,915200000
287,-54,5,915600000
288,-54,5,915800000
289,Sem resposta,5,916000000
290,-47,5,916400000
291,-48,5,915400000
292,-58,5,916200000
293,Sem resposta,5,915200000
294,-49,5,916400000
295,-41,5,915200000
296,-44,5,915600000
297,-43,5,916000000
298,Sem resposta,5,915800000
299,-34,5,916200000
300,-35,5,915400000
301,-40,5,916200000
