frame_count,rssi
28,-36
27,-30
26,-41
25,-34
24,-47
23,-60
22,-79
21,-63
20,-69
19,-83
18,-63
17,-63
16,-69
15,-71
14,-61
13,-66
12,-61
11,-59
10,-66
9,-53
8,-54
7,-52
6,-45
5,-42
4,-35
3,-23
2,-47
1,-35
0,-33
