frame_count, rssi
28,-34
27,-39
26,-48
25,-60
24,-57
23,-61
22,-66
21,-65
20,-74
19,-69
18,-66
17,-71
16,-83
15,-63
14,-67
13,-57
12,-69
11,-60
10,INICIO
9,-52
8,-53
7,-47
6,-53
5,-43
4,-41
3,-39
2,-35
1,-35
0,INICIO
